Alfalfa	SRX2793992
ArPo58	SRX661472
ArPo28	SRX661436
ArPo31	SRX661470
Cast	SRX4028527
Clover	SRX3185868
Gers	SRR7100186
Gs	SRX4038410
Gt	SRX4038411
L10Lap02	SRX660595
L10Mo01	SRX661201
L10Mo03	SRX661199
L11Vc04	SRX661433
L11Vc05	SRX661435
L14Lap03	SRX660596
L14Os02	SRX661217
L14Os06	SRX661218
L14Os08	SRX661219
L14Sv01	SRX661407
L15Sv08	SRX661423
L15Sv14	SRX661424
L17ML03	SRX661196
L19Cs01	SRX660506
L1Vc01	SRX661434
L3Lc03	SRX660507
L3ML02	SRX661198
L3ML04	SRX661197
L4Lc03	SRX660588
L6Lap03	SRX660593
L6Mo02	SRX661200
L7Lc20	SRX660590
L7Tp01	SRX661429
L7Tp17	SRX661431
L7Tp23	SRX661432
L9Ms03	SRX661210
L9Ms05	SRX661213
L9Ms14	SRX661214
Lc	SRX4038412
Lus	SRX4028525
Mel	SRX4038413
MI	SRX4038414
Mil	SRX4028528
Os	SRX4038415
Ov	SRX4038417
Pea	SRX3185869
R21Cs02	SRX660505
Sl	SRX4028530
Sv	SRX4038416
Vc	SRX4038418
Vl	SRX4028529
