Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Alfalfa_contigs.noplasmid.myzus	24	12	7	6	5	3	662633	657165	648250	642623	618362	542161	18	292567	660790	642011	26.96	26.29	162588	162588	87006	87006	2	2	3	3	0	0	0	1	0	0	1	5 + 5 part	16164	99.964	1.004	0.00	258.97	12.62	292567	643478	162553	162553	86991	86991	2	2	3	3
ArPo28_contigs.noplasmid.myzus	4	3	1	1	1	1	651768	651058	642240	642240	642240	642240	4	642240	651768	642011	26.62	26.29	642240	642240	642240	642240	1	1	1	1	0	0	0	2	0	0	1	1 + 1 part	8655	99.965	1.002	0.00	219.70	15.89	641932	642449	641932	641932	641932	641932	1	1	1	1
ArPo31_contigs.noplasmid.myzus	2	2	1	1	1	1	646152	646152	642182	642182	642182	642182	2	642182	646152	642011	26.39	26.29	642182	642182	642182	642182	1	1	1	1	0	0	0	2	0	0	0	1 + 0 part	3970	99.965	1.001	0.00	217.21	15.43	641883	641883	641883	641883	641883	641883	1	1	1	1
ArPo58_contigs.noplasmid.myzus	1	1	1	1	1	1	642259	642259	642259	642259	642259	642259	1	642259	642259	642011	26.29	26.29	642259	642259	642259	642259	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	215.96	15.74	641881	641881	641881	641881	641881	641881	1	1	1	1
Cast_contigs.noplasmid.myzus	26	20	13	10	8	4	657311	653983	634406	615670	582478	437039	24	158645	656580	642011	26.81	26.29	89373	89373	36983	47447	3	3	6	5	0	0	0	2	0	0	0	3 + 4 part	13118	99.905	1.003	0.00	181.63	11.07	158645	642872	89373	89373	36699	47432	3	3	6	5
Clover_contigs.noplasmid.myzus	48	14	10	7	5	4	673624	659172	650615	634293	608789	569085	20	259127	663269	642011	27.03	26.29	175958	175958	81088	81088	2	2	3	3	0	0	0	2	0	0	1	3 + 4 part	15284	99.964	1.010	0.00	226.71	14.80	259112	644610	174739	174739	80804	80804	2	2	3	3
Gers_contigs.noplasmid.myzus	23	11	5	4	4	2	667222	661382	647813	642186	642186	557128	17	455424	665078	642011	27.09	26.29	455424	455424	101704	101704	1	1	2	2	0	0	0	1	0	0	1	5 + 5 part	20219	99.954	1.005	0.00	200.71	12.15	455125	643428	455125	455125	101704	101704	1	1	2	2
Gs_contigs.noplasmid.myzus	10	4	2	2	2	2	650353	647456	642361	642361	642361	642361	7	486109	649574	642011	26.57	26.29	486109	486109	156252	486109	1	1	2	1	0	0	0	1	0	0	0	3 + 1 part	6381	100.000	1.002	0.00	215.57	15.42	485810	642453	485810	485810	156252	485810	1	1	2	1
Gt_contigs.noplasmid.myzus	6	3	1	1	1	1	649470	647395	642288	642288	642288	642288	6	642288	649470	642011	26.56	26.29	642288	642288	642288	642288	1	1	1	1	0	0	0	1	0	0	1	3 + 0 part	5741	100.000	1.003	0.00	217.91	16.98	641989	642525	641989	641989	641989	641989	1	1	1	1
L10Lap02_contigs.noplasmid.myzus	1	1	1	1	1	1	642392	642392	642392	642392	642392	642392	1	642392	642392	642011	26.28	26.29	642392	642392	642392	642392	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.997	1.001	0.00	179.44	13.40	642078	642078	642078	642078	642078	642078	1	1	1	1
L10Mo01_contigs.noplasmid.myzus	1	1	1	1	1	1	642414	642414	642414	642414	642414	642414	1	642414	642414	642011	26.28	26.29	642414	642414	642414	642414	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	3.58	1.09	642115	642115	642115	642115	642115	642115	1	1	1	1
L10Mo03_contigs.noplasmid.myzus	1	1	1	1	1	1	642418	642418	642418	642418	642418	642418	1	642418	642418	642011	26.28	26.29	642418	642418	642418	642418	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	4.67	1.40	642119	642119	642119	642119	642119	642119	1	1	1	1
L11Vc04_contigs.noplasmid.myzus	4	3	1	1	1	1	648041	647433	642467	642467	642467	642467	4	642467	648041	642011	26.51	26.29	642467	642467	642467	642467	1	1	1	1	0	0	0	1	0	0	1	1 + 1 part	4803	100.000	1.002	0.00	140.03	13.86	642168	642685	642168	642168	642168	642168	1	1	1	1
L11Vc05_contigs.noplasmid.myzus	1	1	1	1	1	1	642505	642505	642505	642505	642505	642505	1	642505	642505	642011	26.28	26.29	642505	642505	642505	642505	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	137.85	14.64	642206	642206	642206	642206	642206	642206	1	1	1	1
L14Lap03_contigs.noplasmid.myzus	1	1	1	1	1	1	642402	642402	642402	642402	642402	642402	1	642402	642402	642011	26.28	26.29	642402	642402	642402	642402	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.997	1.001	0.00	180.53	12.77	642088	642088	642088	642088	642088	642088	1	1	1	1
L14Os02_contigs.noplasmid.myzus	1	1	1	1	1	1	642375	642375	642375	642375	642375	642375	1	642375	642375	642011	26.28	26.29	642375	642375	642375	642375	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	101.09	7.79	642076	642076	642076	642076	642076	642076	1	1	1	1
L14Os06_contigs.noplasmid.myzus	1	1	1	1	1	1	642377	642377	642377	642377	642377	642377	1	642377	642377	642011	26.28	26.29	642377	642377	642377	642377	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	101.71	7.63	642078	642078	642078	642078	642078	642078	1	1	1	1
L14Os08_contigs.noplasmid.myzus	5	3	1	1	1	1	648274	646524	642117	642117	642117	642117	5	642117	648274	642011	26.52	26.29	642117	642117	642117	642117	1	1	1	1	0	0	0	2	0	0	1	2 + 1 part	5184	99.965	1.002	0.00	220.32	14.02	641819	642361	641819	641819	641819	641819	1	1	1	1
L14Sv01_contigs.noplasmid.myzus	1	1	1	1	1	1	642252	642252	642252	642252	642252	642252	1	642252	642252	642011	26.29	26.29	642252	642252	642252	642252	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.000	0.00	186.91	15.89	642002	642002	642002	642002	642002	642002	1	1	1	1
L15Sv08_contigs.noplasmid.myzus	5	3	1	1	1	1	648092	646669	642296	642296	642296	642296	5	642296	648092	642011	26.53	26.29	642296	642296	642296	642296	1	1	1	1	0	0	0	1	0	0	2	1 + 1 part	4210	100.000	1.003	0.00	179.90	15.26	641997	642673	641997	641997	641997	641997	1	1	1	1
L15Sv14_contigs.noplasmid.myzus	4	3	1	1	1	1	647176	646484	642193	642193	642193	642193	4	642193	647176	642011	26.49	26.29	642193	642193	642193	642193	1	1	1	1	0	0	0	1	0	0	1	1 + 1 part	4128	100.000	1.002	0.00	181.15	16.04	641894	642412	641894	641894	641894	641894	1	1	1	1
L17ML03_contigs.noplasmid.myzus	2	2	1	1	1	1	646152	646152	642208	642208	642208	642208	2	642208	646152	642011	26.39	26.29	642208	642208	642208	642208	1	1	1	1	0	0	0	2	0	0	0	1 + 0 part	3944	99.965	1.001	0.00	221.73	15.74	641903	641903	641903	641903	641903	641903	1	1	1	1
L19Cs01_contigs.noplasmid.myzus	1	1	1	1	1	1	642200	642200	642200	642200	642200	642200	1	642200	642200	642011	26.29	26.29	642200	642200	642200	642200	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	219.39	14.49	641892	641892	641892	641892	641892	641892	1	1	1	1
L1Vc01_contigs.noplasmid.myzus	4	3	1	1	1	1	647477	646767	642207	642207	642207	642207	4	642207	647477	642011	26.51	26.29	642207	642207	642207	642207	1	1	1	1	0	0	0	2	0	0	1	1 + 1 part	4397	99.965	1.002	0.00	222.50	15.74	641908	642425	641908	641908	641908	641908	1	1	1	1
L3Lc03_contigs.noplasmid.myzus	1	1	1	1	1	1	642392	642392	642392	642392	642392	642392	1	642392	642392	642011	26.28	26.29	642392	642392	642392	642392	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	209.81	16.20	642093	642093	642093	642093	642093	642093	1	1	1	1
L3ML02_contigs.noplasmid.myzus	2	2	1	1	1	1	646130	646130	642184	642184	642184	642184	2	642184	646130	642011	26.40	26.29	642184	642184	642184	642184	1	1	1	1	0	0	0	2	0	0	0	1 + 0 part	3946	99.965	1.001	0.00	224.37	15.27	641884	641884	641884	641884	641884	641884	1	1	1	1
L3ML04_contigs.noplasmid.myzus	2	2	1	1	1	1	646057	646057	642127	642127	642127	642127	2	642127	646057	642011	26.39	26.29	642127	642127	642127	642127	1	1	1	1	0	0	0	2	0	0	0	1 + 0 part	3930	99.965	1.001	0.00	224.53	15.27	641818	641818	641818	641818	641818	641818	1	1	1	1
L4Lc03_contigs.noplasmid.myzus	1	1	1	1	1	1	642357	642357	642357	642357	642357	642357	1	642357	642357	642011	26.28	26.29	642357	642357	642357	642357	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	207.16	15.73	642058	642058	642058	642058	642058	642058	1	1	1	1
L6Lap03_contigs.noplasmid.myzus	1	1	1	1	1	1	642373	642373	642373	642373	642373	642373	1	642373	642373	642011	26.27	26.29	642373	642373	642373	642373	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.997	1.001	0.00	183.34	13.40	642059	642059	642059	642059	642059	642059	1	1	1	1
L6Mo02_contigs.noplasmid.myzus	1	1	1	1	1	1	642463	642463	642463	642463	642463	642463	1	642463	642463	642011	26.28	26.29	642463	642463	642463	642463	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	3.74	0.62	642039	642039	642039	642039	642039	642039	1	1	1	1
L7Lc20_contigs.noplasmid.myzus	1	1	1	1	1	1	642355	642355	642355	642355	642355	642355	1	642355	642355	642011	26.28	26.29	642355	642355	642355	642355	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	206.07	15.73	642056	642056	642056	642056	642056	642056	1	1	1	1
L7Tp01_contigs.noplasmid.myzus	6	3	1	1	1	1	648080	646800	642142	642142	642142	642142	4	642142	647345	642011	26.50	26.29	642142	642142	642142	642142	1	1	1	1	0	0	0	2	0	0	0	1 + 2 part	4921	99.965	1.001	0.00	215.49	14.33	641843	642125	641843	641843	641843	641843	1	1	1	1
L7Tp17_contigs.noplasmid.myzus	7	3	1	1	1	1	647631	645858	642143	642143	642143	642143	4	642143	646482	642011	26.47	26.29	642143	642143	642143	642143	1	1	1	1	0	0	0	2	0	0	1	1 + 1 part	3508	99.965	1.002	0.00	216.43	14.18	641844	642222	641844	641844	641844	641844	1	1	1	1
L7Tp23_contigs.noplasmid.myzus	5	3	1	1	1	1	647307	645824	642104	642104	642104	642104	5	642104	647307	642011	26.51	26.29	642104	642104	642104	642104	1	1	1	1	0	0	0	2	0	0	1	1 + 1 part	3513	99.965	1.003	0.00	221.26	14.65	641805	642560	641805	641805	641805	641805	1	1	1	1
L9Ms03_contigs.noplasmid.myzus	5	4	3	2	2	2	651231	650381	647808	642156	642156	642156	5	348058	651231	642011	26.61	26.29	348058	348058	294098	294098	1	1	2	2	0	0	0	2	0	0	0	1 + 1 part	8003	99.963	1.002	0.00	224.53	13.71	348031	642450	348031	348031	293788	293788	1	1	2	2
L9Ms05_contigs.noplasmid.myzus	7	4	1	1	1	1	649969	647693	642098	642098	642098	642098	7	642098	649969	642011	26.60	26.29	642098	642098	642098	642098	1	1	1	1	0	0	0	2	0	0	1	2 + 2 part	6266	99.963	1.003	0.00	220.17	14.18	641833	642631	641833	641833	641833	641833	1	1	1	1
