Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Alfalfa.LSR1.minia	20	14	14	12	7	5	644031	640321	640321	628063	535208	448878	17	179087	642780	642011	26.38	26.29	60243	60243	46149	46149	3	3	6	6	0	0	0	0	0	0	0	1 + 1 part	1602	99.840	1.000	0.00	197.82	13.42	179072	641157	60243	60243	46149	46149	3	3	6	6
Alfalfa.myzus.minia	305	69	1	0	0	0	248368	106139	5270	0	0	0	226	5270	213250	642011	29.88	26.29	992	-	683	-	70	-	134	-	0	0	0	0	0	0	0	7 + 2 part	7209	32.009	1.003	0.00	111.92	1.46	5270	206031	989	-	662	-	71	-	137	-
Alfalfa.rearranged.minia	31	30	25	18	5	3	521239	520374	503627	454166	227051	156661	31	52428	521239	642011	26.06	26.29	23054	20525	18034	6809	7	10	13	22	0	0	0	0	0	0	0	0 + 0 part	0	81.188	1.000	0.00	193.77	13.05	52428	521219	23054	20525	18034	6809	7	10	13	22
Alfalfa.schyzaphis.minia	160	17	0	0	0	0	105583	22836	0	0	0	0	103	3430	80307	642011	32.32	26.29	797	-	602	-	37	-	67	-	0	0	0	0	0	0	0	1 + 2 part	2392	12.058	1.006	0.00	93.01	1.29	3430	77906	761	-	581	-	37	-	68	-
ArPo28.LSR1.minia	3	3	3	3	3	2	642046	642046	642046	642046	642046	607418	3	452568	642046	642011	26.29	26.29	452568	452568	154850	154850	1	1	2	2	0	0	0	1	0	0	0	0 + 0 part	0	99.965	1.000	0.00	216.58	15.74	452520	641825	452520	452520	154758	154758	1	1	2	2
ArPo28.myzus.minia	438	109	2	0	0	0	379735	177349	11469	0	0	0	338	5957	334772	642011	28.52	26.29	1042	527	705	-	100	312	197	-	0	0	0	0	0	0	0	5 + 0 part	5571	50.902	1.007	0.00	192.17	9.79	5957	329161	1021	517	696	-	101	318	200	-
ArPo28.rearranged.minia	23	23	20	17	9	2	528569	528569	518428	498597	359611	104300	23	52442	528569	642011	26.04	26.29	35039	32298	21907	13207	7	8	11	16	0	0	0	1	0	0	0	0 + 0 part	0	82.288	1.001	0.00	217.87	15.14	52372	528344	35017	32298	21907	13207	7	8	11	16
ArPo28.schyzaphis.minia	247	32	0	0	0	0	177321	50355	0	0	0	0	166	3793	141177	642011	30.56	26.29	840	-	640	-	55	-	103	-	0	0	0	0	0	0	0	0 + 0 part	0	21.901	1.004	0.00	179.22	4.27	3793	141161	840	-	640	-	55	-	103	-
ArPo31.LSR1.minia	7	7	7	6	4	3	642112	642112	642112	633709	603097	568478	7	308591	642112	642011	26.30	26.29	175839	175839	175839	175839	2	2	2	2	0	0	0	1	0	0	0	0 + 0 part	0	99.965	1.001	0.00	216.74	15.43	308576	641962	175838	175838	175838	175838	2	2	2	2
ArPo31.myzus.minia	278	49	1	0	0	0	218327	76396	5449	0	0	0	206	5449	186005	642011	29.59	26.29	939	-	679	-	67	-	126	-	0	0	0	0	0	0	0	1 + 0 part	632	28.719	1.005	0.00	180.61	7.05	5449	185333	938	-	678	-	67	-	126	-
ArPo31.rearranged.minia	24	24	21	16	7	3	528234	528234	518150	481542	324106	184149	24	79887	528234	642011	26.05	26.29	32281	30359	18825	11146	6	7	11	16	0	0	0	1	0	0	0	0 + 0 part	0	82.246	1.000	0.00	218.55	14.96	79887	528084	32281	30290	18825	8798	6	7	11	17
ArPo31.schyzaphis.minia	108	14	0	0	0	0	73658	19178	0	0	0	0	74	2344	58294	642011	32.67	26.29	732	-	598	-	26	-	48	-	0	0	0	0	0	0	0	0 + 0 part	0	9.063	1.002	0.00	123.75	6.87	2344	58281	732	-	598	-	26	-	48	-
ArPo58.LSR1.minia	4	4	4	4	4	3	642047	642047	642047	642047	642047	607411	4	452560	642047	642011	26.29	26.29	452560	452560	84056	84056	1	1	2	2	0	0	0	1	0	0	0	0 + 0 part	0	99.965	1.000	0.00	215.96	15.58	452515	641835	452515	452515	83987	83987	1	1	2	2
ArPo58.myzus.minia	402	95	1	0	0	0	337819	149808	5511	0	0	0	304	5511	294268	642011	28.73	26.29	1016	-	700	-	93	-	180	-	0	0	0	0	0	0	0	5 + 0 part	5154	44.713	1.007	0.00	189.16	8.71	5511	289069	1002	-	683	-	94	-	183	-
ArPo58.rearranged.minia	23	23	20	17	9	2	528374	528374	518240	498433	359549	104289	23	52440	528374	642011	26.04	26.29	35038	32285	21904	13198	7	8	11	16	0	0	0	1	0	0	0	0 + 0 part	0	82.260	1.000	0.00	217.75	15.15	52372	528155	35016	32285	21904	13198	7	8	11	16
ArPo58.schyzaphis.minia	205	24	0	0	0	0	140997	36105	0	0	0	0	134	3772	109160	642011	31.00	26.29	786	-	606	-	45	-	85	-	0	0	0	0	0	0	0	0 + 0 part	0	16.920	1.005	0.00	172.15	5.52	3772	109148	786	-	606	-	45	-	85	-
Cast.LSR1.minia	76	71	49	26	2	0	636775	633354	570447	404172	66217	0	74	39873	635918	642011	26.42	26.29	11862	11862	7448	7448	19	19	35	35	0	0	0	0	0	0	0	0 + 2 part	1928	98.705	1.000	0.00	160.80	11.20	39873	633975	11862	11862	7448	7448	19	19	35	35
