Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Alfalfa	377	32	7	5	5	4	883582	720029	679404	665069	665069	636313	142	213441	793658	642011	27.59	26.29	212156	212156	62523	148193	2	2	4	3	0	0	0	0	0	0	1	8 + 4 part	47673	99.994	1.162	0.00	228.51	15.89	213426	741210	210102	210102	62523	125887	2	2	4	3
ArPo28	234	13	2	1	1	1	767727	670788	650167	642241	642241	642241	60	642241	702512	642011	27.02	26.29	642241	642241	642241	642241	1	1	1	1	0	0	0	2	0	0	1	3 + 1 part	15228	99.965	1.071	0.00	263.33	19.63	641942	686830	641942	641942	641942	641942	1	1	1	1
ArPo31	166	16	8	7	6	6	723650	660109	645560	637634	620545	620545	47	148121	680853	642011	26.67	26.29	120015	120015	60864	116318	3	3	5	4	0	0	0	2	0	0	0	2 + 0 part	11917	99.965	1.042	0.00	224.68	15.58	147828	668427	119993	119993	60789	116316	3	3	5	4
ArPo58	199	11	4	3	3	3	740440	658430	647996	640070	640070	640070	52	374836	685943	642011	26.66	26.29	374836	374836	148700	148700	1	1	2	2	0	0	0	2	0	0	0	1 + 0 part	7926	99.965	1.056	0.00	227.02	15.89	374760	677541	374760	374760	148402	148402	1	1	2	2
Cast	282	23	8	6	5	5	794500	677888	649015	635550	625461	625461	88	296422	721407	642011	27.23	26.29	104769	104769	69141	99293	2	2	4	3	0	0	0	1	0	0	0	4 + 4 part	21189	99.950	1.091	0.00	196.82	12.47	296407	699491	104769	104769	69141	99293	2	2	4	3
Clover	359	30	7	5	5	4	854512	698622	656758	642424	642424	614749	130	184541	766575	642011	27.67	26.29	141829	156972	131407	141829	3	2	4	3	0	0	0	2	0	0	1	9 + 6 part	31924	99.962	1.145	0.00	233.89	15.58	184541	732430	141829	156595	131392	141829	3	2	4	3
Gers	281	21	7	5	5	4	799822	682240	655549	637652	637652	596722	90	323669	727799	642011	27.52	26.29	91715	323669	90446	90892	2	1	4	3	0	0	0	1	0	0	2	6 + 4 part	27166	99.945	1.092	0.00	223.02	12.78	323385	698714	91715	323385	85493	90877	2	1	4	3
Gs	250	15	4	3	3	3	792133	681952	661215	653377	653377	653377	86	375927	730297	642011	27.15	26.29	375927	375927	210400	210400	1	1	2	2	0	0	0	1	0	0	1	4 + 3 part	27941	100.000	1.094	0.00	236.45	15.89	375790	700783	375790	375790	197862	197862	1	1	2	2
Gt	276	19	5	4	4	4	791690	676460	652487	644682	644682	644682	79	240283	717746	642011	27.08	26.29	177426	177426	139567	139567	2	2	3	3	0	0	0	1	0	0	1	4 + 2 part	19547	100.000	1.088	0.00	233.95	17.91	235992	696618	177392	177392	139503	139503	2	2	3	3
L10Lap02	195	8	3	2	2	2	743050	659993	650256	642330	642330	642330	50	442496	688561	642011	26.68	26.29	442496	442496	199834	199834	1	1	2	2	0	0	0	1	0	0	0	1 + 0 part	7926	99.997	1.060	0.00	190.81	13.40	442137	680139	442137	442137	199834	199834	1	1	2	2
L10Mo01	218	9	2	1	1	1	758536	662632	650341	642415	642415	642415	63	642415	699399	642011	26.76	26.29	642415	642415	642415	642415	1	1	1	1	0	0	0	1	0	0	0	1 + 0 part	7926	100.000	1.077	0.00	4.52	1.25	642116	690989	642116	642116	642116	642116	1	1	1	1
L10Mo03	231	9	2	1	1	1	765141	661583	650345	642419	642419	642419	74	642419	705853	642011	26.78	26.29	642419	642419	642419	642419	1	1	1	1	0	0	0	1	0	0	0	1 + 0 part	7926	100.000	1.087	0.00	4.98	1.56	642120	697472	642120	642120	642120	642120	1	1	1	1
L11Vc04	205	14	1	1	1	1	755114	668685	642467	642467	642467	642467	62	642467	701372	642011	26.95	26.29	642467	642467	642467	642467	1	1	1	1	0	0	0	1	0	0	1	3 + 2 part	13285	100.000	1.072	0.00	146.88	14.02	642168	687568	642168	642168	642168	642168	1	1	1	1
L11Vc05	206	12	2	1	1	1	753494	664843	650376	642451	642451	642451	61	642451	698702	642011	26.75	26.29	642451	642451	642451	642451	1	1	1	1	0	0	0	1	0	0	0	1 + 0 part	7925	100.000	1.076	0.00	144.23	14.80	642152	690232	642152	642152	642152	642152	1	1	1	1
L14Lap03	197	9	2	1	1	1	745660	662402	650328	642402	642402	642402	52	642402	691229	642011	26.70	26.29	642402	642402	642402	642402	1	1	1	1	0	0	0	1	0	0	0	1 + 0 part	7926	99.997	1.064	0.00	190.81	12.77	642088	682820	642088	642088	642088	642088	1	1	1	1
L14Os02	193	10	5	4	3	3	738665	658912	650023	642097	621116	621116	49	354494	685182	642011	26.66	26.29	354494	354494	199020	199020	1	1	2	2	0	0	0	1	0	0	0	1 + 0 part	7926	100.000	1.055	0.00	106.38	8.57	354468	676752	354468	354468	199020	199020	1	1	2	2
L14Os06	203	11	5	4	4	4	745296	660407	650199	642273	642273	642273	55	263353	690148	642011	26.70	26.29	198986	198986	112744	112744	2	2	3	3	0	0	0	1	0	0	0	1 + 0 part	7926	100.000	1.063	0.00	106.85	8.10	263325	681636	198908	198908	112736	112736	2	2	3	3
L14Os08	236	15	2	1	1	1	772478	671221	650040	642114	642114	642114	77	642114	712302	642011	26.98	26.29	642114	642114	642114	642114	1	1	1	1	0	0	0	2	0	0	1	6 + 1 part	14917	99.965	1.087	0.00	230.29	14.49	641816	696813	641816	641816	641816	641816	1	1	1	1
L14Sv01	196	9	2	1	1	1	744879	661230	650166	642240	642240	642240	54	642240	691687	642011	26.72	26.29	642240	642240	642240	642240	1	1	1	1	0	0	0	1	0	0	0	1 + 0 part	7926	100.000	1.065	0.00	195.79	16.04	641990	683323	641990	641990	641990	641990	1	1	1	1
L15Sv08	202	12	4	3	3	3	749441	664518	650210	642284	642284	642284	58	268583	695150	642011	26.92	26.29	225201	225201	148500	225201	2	2	3	2	0	0	0	1	0	0	2	2 + 1 part	12136	100.000	1.064	0.00	188.00	15.89	268569	681610	225186	225186	148216	225186	2	2	3	2
L15Sv14	224	14	2	1	1	1	763846	668622	650162	642235	642235	642235	70	642235	705397	642011	26.96	26.29	642235	642235	642235	642235	1	1	1	1	0	0	0	1	0	0	0	3 + 2 part	10822	100.000	1.082	0.00	228.97	20.56	641936	694086	641936	641936	641936	641936	1	1	1	1
L17ML03	200	10	2	1	1	1	749727	665087	650131	642205	642205	642205	53	642205	694210	642011	26.80	26.29	642205	642205	642205	642205	1	1	1	1	0	0	0	2	0	0	0	2 + 0 part	11896	99.964	1.063	0.00	230.45	15.74	641900	681837	641900	641900	641900	641900	1	1	1	1
L19Cs01	227	13	2	1	1	1	762137	666419	649969	642200	642200	642200	69	642200	702798	642011	26.79	26.29	642200	642200	642200	642200	1	1	1	1	0	0	0	2	0	0	0	1 + 0 part	7769	99.965	1.083	0.00	232.79	15.27	641892	694526	641892	641892	641892	641892	1	1	1	1
L1Vc01	206	12	2	1	1	1	755775	666897	650105	642178	642178	642178	69	642178	704905	642011	26.95	26.29	642178	642178	642178	642178	1	1	1	1	0	0	0	2	0	0	1	4 + 1 part	13477	99.965	1.077	0.00	233.72	16.05	641870	690918	641870	641870	641870	641870	1	1	1	1
L3Lc03	152	12	9	8	6	6	713241	652877	646355	638429	606299	606299	40	143706	672127	642011	26.52	26.29	111832	111832	81309	81309	3	3	5	5	0	0	0	1	0	0	0	1 + 0 part	7926	100.000	1.035	0.00	219.47	16.35	143706	663761	111832	111832	81309	81309	3	3	5	5
L3ML02	217	11	2	1	1	1	759704	666776	650111	642185	642185	642185	62	642185	701492	642011	26.84	26.29	642185	642185	642185	642185	1	1	1	1	0	0	0	2	0	0	0	3 + 0 part	12448	99.965	1.074	0.00	235.75	15.74	641876	688542	641876	641876	641876	641876	1	1	1	1
L3ML04	154	8	5	4	4	4	718899	656086	646910	638984	638984	638984	38	267604	676102	642011	26.63	26.29	148023	148023	116455	116455	2	2	3	3	0	0	0	2	0	0	0	2 + 0 part	11856	99.965	1.035	0.00	230.76	15.27	267604	663773	147715	147715	116455	116455	2	2	3	3
L4Lc03	253	12	2	1	1	1	774133	666098	650265	642341	642341	642341	70	642341	705579	642011	26.78	26.29	642341	642341	642341	642341	1	1	1	1	0	0	0	1	0	0	0	2 + 0 part	8471	100.000	1.086	0.00	219.47	16.20	642042	696594	642042	642042	642042	642042	1	1	1	1
L6Lap03	216	11	3	2	2	2	752172	662325	650283	642357	642357	642357	57	376076	692752	642011	26.72	26.29	376076	376076	266281	266281	1	1	2	2	0	0	0	1	0	0	0	1 + 0 part	7926	99.997	1.067	0.00	197.82	13.71	375977	684296	375977	375977	265946	265946	1	1	2	2
L6Mo02	191	8	2	1	1	1	741130	660371	650385	642459	642459	642459	50	642459	688163	642011	26.69	26.29	642459	642459	642459	642459	1	1	1	1	0	0	0	1	0	0	0	2 + 0 part	8525	100.000	1.059	0.00	5.61	0.78	642160	679239	642160	642160	642160	642160	1	1	1	1
L7Lc20	195	9	2	1	1	1	743448	661530	650270	642346	642346	642346	47	642346	687540	642011	26.69	26.29	642346	642346	642346	642346	1	1	1	1	0	0	0	1	0	0	0	1 + 0 part	7924	100.000	1.059	0.00	215.11	16.51	642016	679147	642016	642016	642016	642016	1	1	1	1
L7Tp01	175	11	2	1	1	1	735071	665348	650101	642175	642175	642175	41	642175	685407	642011	26.88	26.29	642175	642175	642175	642175	1	1	1	1	0	0	0	2	0	0	1	4 + 1 part	14015	99.965	1.046	0.00	221.10	14.33	641867	670442	641867	641867	641867	641867	1	1	1	1
L7Tp17	173	9	2	1	1	1	735173	661806	649912	642143	642143	642143	49	642143	689327	642011	26.92	26.29	642143	642143	642143	642143	1	1	1	1	0	0	0	2	0	0	1	5 + 1 part	13242	99.965	1.053	0.00	224.53	14.18	641844	674969	641844	641844	641844	641844	1	1	1	1
L7Tp23	223	13	2	1	1	1	763432	667809	649886	642117	642117	642117	71	642117	706356	642011	26.96	26.29	642117	642117	642117	642117	1	1	1	1	0	0	0	2	0	0	0	2 + 1 part	11282	99.965	1.083	0.00	233.41	15.11	641818	694290	641818	641818	641818	641818	1	1	1	1
L9Ms03	168	15	9	7	6	5	731461	664580	652714	638380	618197	586705	49	236081	687273	642011	26.88	26.29	116295	116295	80946	80946	2	2	4	4	0	0	0	2	0	0	0	2 + 1 part	17374	99.963	1.044	0.00	230.14	13.71	236059	669203	116248	116248	80946	80946	2	2	4	4
L9Ms05	188	15	7	6	5	5	737406	661471	646109	638183	617999	617999	53	302933	687500	642011	26.87	26.29	116326	116326	67047	80650	2	2	4	3	0	0	0	2	0	0	1	2 + 4 part	15382	99.963	1.047	0.00	230.61	14.34	302918	671097	116326	116326	66797	80634	2	2	4	3
L9Ms14	176	11	6	5	4	4	732162	658266	649802	641876	619932	619932	51	268016	685977	642011	26.74	26.29	148346	148346	117252	117252	2	2	3	3	0	0	0	2	0	0	0	6 + 0 part	11315	99.965	1.051	0.00	253.20	17.14	268016	674190	148061	148061	117252	117252	2	2	3	3
Lc	264	13	3	2	2	2	784870	671600	654164	646362	646362	646362	81	341601	715895	642011	27.04	26.29	304761	341601	304761	304761	2	1	2	2	0	0	0	1	0	0	1	3 + 2 part	14937	99.990	1.092	0.00	242.70	19.32	341201	700401	300996	341201	300996	300996	2	1	2	2
Lus	257	18	3	2	2	2	786376	675388	650036	642110	642110	642110	90	468299	723356	642011	27.24	26.29	468299	468299	173811	173811	1	1	2	2	0	0	0	2	0	0	1	5 + 3 part	17822	99.965	1.099	0.00	226.71	14.02	468000	703016	468000	468000	173811	173811	1	1	2	2
