Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Alfalfa.LSR1.81_20_400_71_10_assembly	1	1	1	1	1	1	645163	645163	645163	645163	645163	645163	1	645163	645163	642011	26.41	26.29	645163	645163	645163	645163	1	1	1	1	0	0	0	2	0	0	0	0 + 1 part	2027	99.963	1.002	0.00	213.78	16.21	643127	643127	643127	643127	643127	643127	1	1	1	1
Alfalfa.myzus.81_20_400_71_10_assembly	1	1	1	1	1	1	646217	646217	646217	646217	646217	646217	1	646217	646217	642011	26.44	26.29	646217	646217	646217	646217	1	1	1	1	1	1	646217	2	0	0	0	0 + 0 part	0	99.963	1.007	0.00	275.80	25.87	377762	645623	377762	377762	267861	267861	1	1	2	2
Alfalfa.rearranged.81_20_400_71_10_assembly	1	1	1	1	1	1	649353	649353	649353	649353	649353	649353	1	649353	649353	642011	26.46	26.29	649353	649353	649353	649353	1	1	1	1	1	1	649353	2	0	0	0	0 + 1 part	2765	99.963	1.008	0.00	228.74	17.45	643775	646588	643775	643775	643775	643775	1	1	1	1
Alfalfa.schyzaphis.81_20_400_71_10_assembly	1	1	1	1	1	1	646158	646158	646158	646158	646158	646158	1	646158	646158	642011	26.44	26.29	646158	646158	646158	646158	1	1	1	1	0	0	0	2	0	0	0	0 + 1 part	3195	99.963	1.002	0.00	240.90	22.13	642963	642963	642963	642963	642963	642963	1	1	1	1
ArPo28.LSR1.61_10_400_51_5_assembly	1	1	1	1	1	1	642186	642186	642186	642186	642186	642186	1	642186	642186	642011	26.29	26.29	642186	642186	642186	642186	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	216.89	15.58	641799	641799	641799	641799	641799	641799	1	1	1	1
ArPo28.myzus.61_10_400_51_5_assembly	1	1	1	1	1	1	642164	642164	642164	642164	642164	642164	1	642164	642164	642011	26.29	26.29	642164	642164	642164	642164	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	216.58	15.74	641865	641865	641865	641865	641865	641865	1	1	1	1
ArPo28.rearranged.61_10_400_51_5_assembly	1	1	1	1	1	1	644144	644144	644144	644144	644144	644144	1	644144	644144	642011	26.38	26.29	644144	644144	644144	644144	1	1	1	1	1	1	644144	3	0	0	0	0 + 1 part	2013	99.825	1.002	0.00	250.90	17.94	375597	642131	375597	375597	266534	266534	1	1	2	2
ArPo28.schyzaphis.61_10_400_51_5_assembly	1	1	1	1	1	1	642164	642164	642164	642164	642164	642164	1	642164	642164	642011	26.29	26.29	642164	642164	642164	642164	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	216.58	15.74	641865	641865	641865	641865	641865	641865	1	1	1	1
ArPo31.LSR1.61_10_400_51_5_assembly	1	1	1	1	1	1	641958	641958	641958	641958	641958	641958	1	641958	641958	642011	26.28	26.29	641958	641958	641958	641958	1	1	1	1	0	0	0	3	0	0	0	0 + 1 part	974	99.841	1.000	0.00	217.16	15.44	640984	640984	640984	640984	640984	640984	1	1	1	1
ArPo31.myzus.61_10_400_51_5_assembly	1	1	1	1	1	1	638309	638309	638309	638309	638309	638309	1	638309	638309	642011	26.29	26.29	638309	638309	638309	638309	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.378	1.000	0.00	216.92	15.36	638010	638010	638010	638010	638010	638010	1	1	1	1
ArPo31.rearranged.61_10_400_51_5_assembly	1	1	1	1	1	1	641960	641960	641960	641960	641960	641960	1	641960	641960	642011	26.29	26.29	641960	641960	641960	641960	1	1	1	1	0	0	0	3	0	0	0	0 + 1 part	974	99.841	1.000	0.00	236.04	16.69	640986	640986	640986	640986	640986	640986	1	1	1	1
ArPo31.schyzaphis.61_10_400_51_5_assembly	1	1	1	1	1	1	615928	615928	615928	615928	615928	615928	1	615928	615928	642011	26.34	26.29	615928	615928	615928	615928	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	95.894	1.000	0.00	217.49	15.59	615629	615629	615629	615629	615629	615629	1	1	1	1
ArPo58.LSR1.61_10_400_51_5_assembly	1	1	1	1	1	1	642126	642126	642126	642126	642126	642126	1	642126	642126	642011	26.29	26.29	642126	642126	642126	642126	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	215.80	15.89	641815	641815	641815	641815	641815	641815	1	1	1	1
ArPo58.myzus.61_10_400_51_5_assembly	1	1	1	1	1	1	638373	638373	638373	638373	638373	638373	1	638373	638373	642011	26.30	26.29	638373	638373	638373	638373	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.388	1.000	0.00	215.96	15.67	638074	638074	638074	638074	638074	638074	1	1	1	1
ArPo58.rearranged.61_10_400_51_5_assembly	1	1	1	1	1	1	642143	642143	642143	642143	642143	642143	1	642143	642143	642011	26.29	26.29	642143	642143	642143	642143	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	215.80	15.89	641832	641832	641832	641832	641832	641832	1	1	1	1
ArPo58.schyzaphis.61_10_400_51_5_assembly	1	1	1	1	1	1	630870	630870	630870	630870	630870	630870	1	630870	630870	642011	26.31	26.29	630870	630870	630870	630870	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	98.212	1.001	0.00	215.37	16.02	630571	630571	630571	630571	630571	630571	1	1	1	1
Cast.LSR1.81_20_400_71_10_assembly	1	1	1	1	1	1	643169	643169	643169	643169	643169	643169	1	643169	643169	642011	26.28	26.29	643169	643169	643169	643169	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.002	0.00	198.20	14.96	642870	642870	642870	642870	642870	642870	1	1	1	1
Cast.myzus.81_20_400_71_10_assembly	1	1	1	1	1	1	646241	646241	646241	646241	646241	646241	1	646241	646241	642011	26.43	26.29	646241	646241	646241	646241	1	1	1	1	0	0	0	1	0	0	0	0 + 1 part	3013	100.000	1.002	0.00	195.01	14.49	643228	643228	643228	643228	643228	643228	1	1	1	1
Cast.rearranged.81_20_400_71_10_assembly	1	1	1	1	1	1	647294	647294	647294	647294	647294	647294	1	647294	647294	642011	26.45	26.29	647294	647294	647294	647294	1	1	1	1	1	1	647294	2	0	0	0	0 + 0 part	0	99.965	1.009	0.00	255.54	21.81	377715	646745	377715	377715	269030	269030	1	1	2	2
Cast.schyzaphis.81_20_400_71_10_assembly	1	1	1	1	1	1	646247	646247	646247	646247	646247	646247	1	646247	646247	642011	26.44	26.29	646247	646247	646247	646247	1	1	1	1	1	1	646247	1	0	0	0	0 + 0 part	0	100.000	1.007	0.00	244.23	20.25	377606	645671	377606	377606	268065	268065	1	1	2	2
Clover.LSR1.81_20_400_71_10_assembly	1	1	1	1	1	1	642345	642345	642345	642345	642345	642345	1	642345	642345	642011	26.28	26.29	642345	642345	642345	642345	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	203.96	13.71	641886	641886	641886	641886	641886	641886	1	1	1	1
Clover.myzus.81_20_400_71_10_assembly	1	1	1	1	1	1	669905	669905	669905	669905	669905	669905	1	669905	669905	642011	27.03	26.29	669905	669905	669905	669905	1	1	1	1	0	0	0	2	0	0	0	0 + 1 part	28053	99.965	1.000	0.00	218.92	18.85	641843	641843	641843	641843	641843	641843	1	1	1	1
Clover.rearranged.81_20_400_71_10_assembly	1	1	1	1	1	1	643631	643631	643631	643631	643631	643631	1	643631	643631	642011	26.36	26.29	643631	643631	643631	643631	1	1	1	1	0	0	0	2	0	0	0	0 + 1 part	1414	99.963	1.001	0.00	228.12	16.36	642217	642217	642217	642217	642217	642217	1	1	1	1
Clover.schyzaphis.81_20_400_71_10_assembly	1	1	1	1	1	1	669409	669409	669409	669409	669409	669409	1	669409	669409	642011	27.02	26.29	669409	669409	669409	669409	1	1	1	1	0	0	0	2	0	0	0	0 + 1 part	27558	99.963	1.000	0.00	226.09	18.23	641842	641842	641842	641842	641842	641842	1	1	1	1
Gers.LSR1.81_20_400_71_10_assembly	1	1	1	1	1	1	656659	656659	656659	656659	656659	656659	1	656659	656659	642011	26.46	26.29	656659	656659	656659	656659	1	1	1	1	1	1	656659	2	0	0	0	0 + 0 part	0	99.965	1.023	0.00	262.39	21.66	647527	656110	647527	647527	647527	647527	1	1	1	1
Gers.myzus.81_20_400_71_10_assembly	1	1	1	1	1	1	646368	646368	646368	646368	646368	646368	1	646368	646368	642011	26.44	26.29	646368	646368	646368	646368	1	1	1	1	0	0	0	1	0	0	0	0 + 1 part	3048	100.000	1.002	0.00	208.72	14.33	643320	643320	643320	643320	643320	643320	1	1	1	1
Gers.rearranged.81_20_400_71_10_assembly	1	1	1	1	1	1	645537	645537	645537	645537	645537	645537	1	645537	645537	642011	26.42	26.29	645537	645537	645537	645537	1	1	1	1	1	1	645537	2	0	0	0	0 + 0 part	0	99.965	1.006	0.00	251.48	19.01	643721	644952	643721	643721	643721	643721	1	1	1	1
Gers.schyzaphis.81_20_400_71_10_assembly	1	1	1	1	1	1	646165	646165	646165	646165	646165	646165	1	646165	646165	642011	26.45	26.29	646165	646165	646165	646165	1	1	1	1	0	0	0	2	0	0	0	0 + 1 part	3064	99.963	1.002	0.00	205.52	14.80	643101	643101	643101	643101	643101	643101	1	1	1	1
Gs.LSR1.81_20_400_71_10_assembly	1	1	1	1	1	1	645487	645487	645487	645487	645487	645487	1	645487	645487	642011	26.40	26.29	645487	645487	645487	645487	1	1	1	1	0	0	0	1	0	0	0	0 + 1 part	2081	100.000	1.002	0.00	233.95	17.60	643406	643406	643406	643406	643406	643406	1	1	1	1
Gs.myzus.81_20_400_71_10_assembly	1	1	1	1	1	1	646296	646296	646296	646296	646296	646296	1	646296	646296	642011	26.44	26.29	646296	646296	646296	646296	1	1	1	1	0	0	0	1	0	0	0	0 + 1 part	3070	100.000	1.002	0.00	247.50	18.22	643226	643226	643226	643226	643226	643226	1	1	1	1
Gs.rearranged.81_20_400_71_10_assembly	1	1	1	1	1	1	688322	688322	688322	688322	688322	688322	1	688322	688322	642011	27.41	26.29	688322	688322	688322	688322	1	1	1	1	3	1	688322	2	0	0	0	0 + 1 part	40949	100.000	1.008	0.00	274.61	18.22	375992	647373	375992	375992	268030	268030	1	1	2	2
Gs.schyzaphis.81_20_400_71_10_assembly	1	1	1	1	1	1	646201	646201	646201	646201	646201	646201	1	646201	646201	642011	26.43	26.29	646201	646201	646201	646201	1	1	1	1	1	1	646201	1	0	0	0	0 + 0 part	0	100.000	1.007	0.00	278.19	21.81	377548	645625	377548	377548	268077	268077	1	1	2	2
Gt.LSR1.81_20_400_71_10_assembly	1	1	1	1	1	1	645033	645033	645033	645033	645033	645033	1	645033	645033	642011	26.38	26.29	645033	645033	645033	645033	1	1	1	1	0	0	0	1	0	0	0	0 + 1 part	2094	100.000	1.001	0.00	229.75	18.69	642939	642939	642939	642939	642939	642939	1	1	1	1
Gt.myzus.81_20_400_71_10_assembly	1	1	1	1	1	1	646258	646258	646258	646258	646258	646258	1	646258	646258	642011	26.43	26.29	646258	646258	646258	646258	1	1	1	1	1	1	646258	1	0	0	0	0 + 0 part	0	100.000	1.007	0.00	275.54	23.68	644324	645710	644324	644324	644324	644324	1	1	1	1
Gt.rearranged.81_20_400_71_10_assembly	1	1	1	1	1	1	644773	644773	644773	644773	644773	644773	1	644773	644773	642011	26.38	26.29	644773	644773	644773	644773	1	1	1	1	0	0	0	1	0	0	0	0 + 1 part	1642	100.000	1.002	0.00	238.63	19.47	643131	643131	643131	643131	643131	643131	1	1	1	1
Gt.schyzaphis.81_20_400_71_10_assembly	1	1	1	1	1	1	646144	646144	646144	646144	646144	646144	1	646144	646144	642011	26.43	26.29	646144	646144	646144	646144	1	1	1	1	1	1	646144	1	0	0	0	0 + 0 part	0	100.000	1.006	0.00	280.06	23.99	377521	645568	377521	377521	268047	268047	1	1	2	2
L10Lap02.LSR1.61_10_400_51_5_assembly	1	1	1	1	1	1	642334	642334	642334	642334	642334	642334	1	642334	642334	642011	26.27	26.29	642334	642334	642334	642334	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.997	1.001	0.00	179.91	13.40	642018	642018	642018	642018	642018	642018	1	1	1	1
L10Lap02.myzus.61_10_400_51_5_assembly	1	1	1	1	1	1	642334	642334	642334	642334	642334	642334	1	642334	642334	642011	26.28	26.29	642334	642334	642334	642334	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.997	1.001	0.00	179.44	13.40	642020	642020	642020	642020	642020	642020	1	1	1	1
L10Lap02.rearranged.61_10_400_51_5_assembly	1	1	1	1	1	1	642334	642334	642334	642334	642334	642334	1	642334	642334	642011	26.27	26.29	642334	642334	642334	642334	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.997	1.001	0.00	179.91	13.40	642020	642020	642020	642020	642020	642020	1	1	1	1
L10Lap02.schyzaphis.61_10_400_51_5_assembly	1	1	1	1	1	1	642334	642334	642334	642334	642334	642334	1	642334	642334	642011	26.27	26.29	642334	642334	642334	642334	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	99.997	1.001	0.00	179.44	13.40	642020	642020	642020	642020	642020	642020	1	1	1	1
L10Mo01.LSR1.61_10_400_51_5_assembly	1	1	1	1	1	1	642369	642369	642369	642369	642369	642369	1	642369	642369	642011	26.28	26.29	642369	642369	642369	642369	1	1	1	1	0	0	0	1	0	0	0	0 + 0 part	0	100.000	1.001	0.00	3.58	0.93	642056	642056	642056	642056	642056	642056	1	1	1	1
